Date,Market Cap (US),Market Cap (India),Equal Weight,Price Weighted,Fundamental Weighted,Volatility Weighted,Risk Parity Proxy,Factor Weighted (Momentum),ESG Weighted
2024-04-02,-0.007265388203672426,-0.00038736104211539534,-0.00864927575443509,-0.01007445503870462,-0.006807994831727438,-0.0025995838962964255,-0.003535145795556892,-0.00657990907389443,-0.007937935963970678
2024-04-03,0.001090527523337898,-0.0008309754048160305,0.0010778509592560407,-0.0011008710943994674,0.0013129131642937383,-0.005065599757688968,-0.0016284659874050114,0.00849757421445875,-0.0007416260907048838
2024-04-04,-0.01241103561926225,0.0035595696965144527,-0.010225880689324073,-0.013642312610939126,-0.01055147521182266,-0.008034785061827442,-0.005093954816909361,-0.01928966727091397,-0.011941579753582024
2024-04-05,0.011038050135699558,-4.22476898839797e-05,0.005967854210460585,0.007924029962341818,0.006344276852617177,0.0038710044749448148,-0.0003854328332944143,0.01753203036148113,0.008597367145029131
2024-04-08,-0.0003747011900415767,0.006755296273493474,0.0030602907226894038,-0.0002889135690021881,0.0013165106685249436,-0.00046378806332714585,0.0018298258430332064,-0.0026157419089534186,0.002137824101211488
2024-04-09,0.0014444494736345207,-0.0010395619844089984,0.003946863606375262,-0.00023474724373957236,0.0018403925630894459,0.002779086046961947,0.00182648369503542,-0.006327071865796291,0.003337082809776424
2024-04-10,-0.009501981832212592,0.004892486360835239,-0.017155212200112756,-0.010916370714456728,-0.014285786115528581,-0.012098844443866122,-0.009941767047163211,-0.0039882320741838366,-0.013415527734682115
2024-04-15,-0.012094195787459195,-0.011024443666037696,-0.008680689855596101,-0.006554020316917235,-0.007870894431621587,-0.004928177148202056,-0.00304902138847243,-0.01711137594425852,-0.012395226820519982
2024-04-16,-0.0020586245275039964,-0.005610032105390299,-0.005557629785286605,0.0016908762720092047,-0.005190477766503542,-0.0022334875009122255,-0.0057294828683415195,0.004966119406224075,-0.0016324721671647387
2024-04-19,-0.008797129654056974,0.006848265696137249,0.003761447157578886,0.005570621079428836,0.005192002583204922,0.010728958556800979,0.006001298789803545,-0.02581885665918874,-0.006618038785861066
2024-04-22,0.00869335115683908,0.008515605079627573,0.007605176646090753,0.006653417631830303,0.008413741962869625,0.007065148056767001,0.006063094199457204,0.009917245978205166,0.007684413229146267
2024-04-23,0.01189356656772209,0.0014137138340638612,0.008841161676196883,0.006872539950673398,0.008611332962198693,0.002961567929353905,0.003114918197918484,0.02122096795933184,0.012422546829163402
2024-04-24,0.00021298737793290078,0.001536747364098986,0.0014147188070527932,-0.0011114077971448432,0.0002680338115127901,0.0031079297570462297,-0.0006805573531754323,-0.004589771992337835,0.0019122843532009166
2024-04-25,-0.0045869342701194095,0.007468967297299811,-0.0020920399473971403,-0.0098011798198556,-0.005372061178656789,-0.002174475593555907,-0.001070394889818729,-0.004610848194296646,-0.0026780454102450168
2024-04-26,0.010157381332325343,-0.006685928069119567,0.0004926949776026451,0.00403167125405871,0.00188347441022032,-0.006395682670367274,-0.0023394336150193247,0.012601264283345232,0.009152491601551143
2024-04-29,0.0031734080766393944,0.009917283345523465,0.006932724547421608,0.0038219492989004416,0.00455948190942761,0.004683795165768592,0.005547263722159074,0.0003338741931580924,0.004166952703266076
2024-04-30,-0.015855551118928123,-0.0017039682453004383,-0.014534118555236496,-0.014964922750931897,-0.015098545372919924,-0.0078186391603128,-0.008185665754082994,-0.014740310815391115,-0.013511161443509279
2024-05-03,0.012478557659508005,-0.0076389620148829334,0.007089225508667169,0.011703948701444354,0.006732212321604403,0.004068187676303811,0.004169725151617385,0.01617683764631643,0.012314357538181614
2024-05-06,0.010273173691247842,-0.0014760226012829026,0.007649419371217021,0.004555522258066095,0.008019343889803809,0.004207209654939776,0.0032846280392992157,0.020118228336392048,0.008903855308352722
2024-05-07,0.0013425282288256131,-0.0062665796554610105,0.002800338560510257,0.0008230927928412023,0.0013303790706766085,0.007744763812391679,0.003850639903896072,-0.0005987913968076434,0.0016782210660924678
2024-05-08,-5.835635193424912e-06,0.0,-0.00024312253523873576,0.004416929571827171,0.0015939148816490102,0.00015410113628515113,-0.0021160547930804173,0.0014148316307917303,0.0004656531214778991
2024-05-09,0.005078032639106711,-0.015590012996666094,0.008355916821892392,0.008448636512415168,0.008459023913217338,0.00630555362827142,0.00595184862890963,0.0020640305886509666,0.00584879789223729
2024-05-10,0.001648040080166728,0.004439599522660019,0.0016269524656775584,0.00317052664489946,0.0013152280983408414,0.0036722680625934996,0.004488331418196895,0.001788986845221496,0.0029577322642148434
2024-05-13,-0.00024133317386520824,0.002212518664983643,-0.00024095332878752156,-0.002060391963746608,0.0005256482936980777,-0.0010697379959789923,0.0007620600994288495,-0.0051045907750256955,-9.229683682879528e-05
2024-05-14,0.004826148527454041,0.005135117275633606,0.003966363400121385,0.0032054278244104733,0.0041951667298362055,-0.0003057305186315781,0.0004758896083006923,0.006457819559380185,0.004880173433893252
2024-05-15,0.01164782778729962,-0.0007789037357247285,0.007945235411700814,0.008806090768417173,0.0067794889374582995,0.004425690986631957,0.0037995093113537,0.023046105862586957,0.01359317430162561
2024-05-16,-0.0020838374740880464,0.00911570311987133,-0.0016076888380629495,-0.00096822175149443,-0.00025981951262862987,0.004709469411015081,0.00246180169630319,-0.00854674478426003,-0.00244958211164055
2024-05-17,0.0011640956878937513,0.0027746873362616406,0.001488709965753491,0.0033606128809802417,0.00285542147716163,0.0022710164085760595,0.004340789723733542,-0.0009068295284463704,0.0009986737491614437
